CustomerID,TotalSpent,TotalOrders,TotalQuantity,LastPurchase,FirstPurchase,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Segment
12372,1298.04,3,794,2011-09-29 12:12:00,2011-02-16 12:46:00,71,3,1298.04,3,3,4,10,Loyal
12373,364.6,1,197,2011-02-01 13:10:00,2011-02-01 13:10:00,310,1,364.6,1,1,2,4,Lost
12374,742.9300000000001,1,342,2011-11-14 15:37:00,2011-11-14 15:37:00,24,1,742.9300000000001,4,1,3,8,Potential Loyal
12375,457.5,2,178,2011-11-29 10:36:00,2011-09-02 14:23:00,10,2,457.5,5,2,2,9,Potential Loyal
12377,1628.12,2,944,2011-01-28 15:45:00,2010-12-20 09:37:00,314,2,1628.12,1,2,4,7,Potential Loyal
12378,4008.62,1,2529,2011-08-02 10:34:00,2011-08-02 10:34:00,129,1,4008.62,2,1,5,8,Potential Loyal
12379,852.24,2,407,2011-09-19 10:09:00,2011-06-22 16:32:00,81,2,852.24,2,2,3,7,Potential Loyal
12380,2724.81,4,1127,2011-11-18 11:27:00,2011-06-07 09:49:00,21,4,2724.81,4,4,5,13,VIP
12381,1845.31,5,808,2011-12-05 12:44:00,2011-08-12 09:57:00,4,5,1845.31,5,4,4,13,VIP
12383,1850.56,5,1532,2011-06-08 08:02:00,2010-12-22 14:28:00,184,5,1850.56,1,4,4,9,Potential Loyal
12384,585.27,2,126,2011-11-11 08:39:00,2011-08-10 11:23:00,28,2,585.27,4,2,3,9,Potential Loyal
12386,401.9,2,354,2011-01-06 12:37:00,2010-12-08 09:53:00,337,2,401.9,1,2,2,5,At Risk
12388,2780.66,6,1462,2011-11-24 12:30:00,2011-01-17 11:12:00,15,6,2780.66,4,4,5,13,VIP
12390,549.84,1,353,2011-09-21 09:33:00,2011-09-21 09:33:00,79,1,549.84,2,1,3,6,At Risk
12391,439.66,1,293,2011-11-18 12:07:00,2011-11-18 12:07:00,21,1,439.66,4,1,2,7,Potential Loyal
12393,1582.6000000000001,4,816,2011-09-28 15:41:00,2011-01-11 09:47:00,71,4,1582.6000000000001,3,4,4,11,Loyal
12394,1272.48,2,819,2011-10-07 08:08:00,2011-05-06 14:01:00,63,2,1272.48,3,2,4,9,Potential Loyal
12395,3018.63,12,2118,2011-11-20 15:21:00,2010-12-03 16:35:00,18,12,3018.63,4,5,5,14,VIP
12397,2409.9,2,1263,2011-11-04 09:52:00,2011-07-27 14:21:00,35,2,2409.9,3,2,5,10,Loyal
12398,1635.6599999999999,1,1394,2011-10-25 10:27:00,2011-10-25 10:27:00,45,1,1635.6599999999999,3,1,4,8,Potential Loyal
12399,1108.65,4,1178,2011-08-12 13:15:00,2011-03-23 09:42:00,118,4,1108.65,2,4,4,10,Loyal
12401,84.3,1,11,2011-02-09 13:50:00,2011-02-09 13:50:00,302,1,84.3,1,1,1,3,Lost
12402,225.6,1,94,2011-01-20 13:49:00,2011-01-20 13:49:00,322,1,225.6,1,1,1,3,Lost
12403,427.7,1,96,2011-10-21 10:51:00,2011-10-21 10:51:00,49,1,427.7,3,1,2,6,At Risk
12405,1710.39,1,857,2011-07-14 08:52:00,2011-07-14 08:52:00,148,1,1710.39,2,1,4,7,Potential Loyal
12406,3415.3,2,1818,2011-11-17 19:22:00,2011-06-09 10:23:00,21,2,3415.3,4,2,5,11,Loyal
12407,1708.1200000000001,5,1416,2011-10-21 10:11:00,2011-03-20 13:21:00,49,5,1708.1200000000001,3,4,4,11,Loyal
12408,2888.55,5,1409,2011-11-07 12:27:00,2011-03-24 14:46:00,32,5,2888.55,4,4,5,13,VIP
12409,11072.67,3,5551,2011-09-22 10:38:00,2011-06-10 12:19:00,78,3,11072.67,2,3,5,10,Loyal
12410,693.3299999999999,2,211,2011-02-04 10:39:00,2011-02-04 10:38:00,308,2,693.3299999999999,1,2,3,6,At Risk
12412,1226.88,3,829,2011-09-26 10:16:00,2011-06-23 13:51:00,74,3,1226.88,2,3,4,9,Potential Loyal
12413,758.1,3,286,2011-10-04 09:00:00,2011-01-06 16:12:00,66,3,758.1,3,3,3,9,Potential Loyal
12414,562.41,3,300,2011-05-06 14:51:00,2011-02-02 14:51:00,216,3,562.41,1,3,3,7,Potential Loyal
12415,124914.53,21,77374,2011-11-15 14:22:00,2011-01-06 11:12:00,23,21,124914.53,4,5,5,14,VIP
12417,3649.1,9,1552,2011-12-06 14:52:00,2010-12-17 11:51:00,2,9,3649.1,5,5,5,15,VIP
12418,668.58,1,407,2011-08-19 11:08:00,2011-08-19 11:08:00,112,1,668.58,2,1,3,6,At Risk
12420,600.39,1,345,2011-10-07 08:55:00,2011-10-07 08:55:00,63,1,600.39,3,1,3,7,Potential Loyal
12421,807.04,4,484,2011-11-24 09:07:00,2011-01-24 15:09:00,15,4,807.04,4,4,3,11,Loyal
12422,803.5600000000001,3,370,2011-09-05 09:48:00,2011-01-19 09:13:00,95,3,803.5600000000001,2,3,3,8,Potential Loyal
12423,1859.31,8,1339,2011-12-09 10:10:00,2010-12-21 10:54:00,0,8,1859.31,5,5,4,14,VIP
12424,1760.96,2,740,2011-06-30 12:06:00,2011-06-30 12:06:00,162,2,1760.96,2,2,4,8,Potential Loyal
12425,777.2,1,496,2011-09-22 17:31:00,2011-09-22 17:31:00,77,1,777.2,2,1,3,6,At Risk
12426,582.73,1,258,2011-05-29 12:26:00,2011-05-29 12:26:00,194,1,582.73,1,1,3,5,At Risk
12427,825.8,3,533,2011-11-18 08:56:00,2010-12-03 10:44:00,21,3,825.8,4,3,3,10,Loyal
12428,7956.46,9,3536,2011-11-14 08:22:00,2011-03-01 09:33:00,25,9,7956.46,4,5,5,14,VIP
12429,3750.4,4,1557,2011-11-30 17:22:00,2010-12-09 12:05:00,8,4,3750.4,5,4,5,14,VIP
12430,256.4,1,117,2011-10-27 15:09:00,2011-10-27 15:09:00,42,1,256.4,3,1,2,6,At Risk
12431,6419.95,15,2896,2011-11-04 11:55:00,2010-12-01 10:03:00,35,15,6419.95,3,5,5,13,VIP
12432,5059.32,5,1801,2011-10-28 11:43:00,2011-06-20 13:27:00,42,5,5059.32,3,4,5,12,Loyal
12433,13375.87,7,11071,2011-12-09 10:02:00,2010-12-01 13:24:00,0,7,13375.87,5,5,5,15,VIP
12434,806.14,2,394,2011-09-16 12:38:00,2011-03-24 13:05:00,84,2,806.14,2,2,3,7,Potential Loyal
12435,7829.89,2,2055,2011-09-21 09:06:00,2011-03-17 07:40:00,79,2,7829.89,2,2,5,9,Potential Loyal
12436,509.01,1,211,2011-09-01 12:09:00,2011-09-01 12:09:00,99,1,509.01,2,1,3,6,At Risk
12437,4951.41,18,2922,2011-12-08 11:35:00,2011-01-12 14:13:00,1,18,4951.41,5,5,5,15,VIP
12438,2906.85,2,1180,2011-11-25 13:28:00,2011-07-22 13:29:00,13,2,2906.85,4,2,5,11,Loyal
12441,173.55,1,121,2010-12-08 10:45:00,2010-12-08 10:45:00,366,1,173.55,1,1,1,3,Lost
12442,172.06,1,182,2011-12-06 14:22:00,2011-12-06 14:22:00,2,1,172.06,5,1,1,7,Potential Loyal
12444,5005.46,5,1153,2011-11-18 13:23:00,2011-06-21 14:00:00,20,5,5005.46,4,4,5,13,VIP
12445,133.4,1,62,2011-11-17 18:43:00,2011-11-17 18:43:00,21,1,133.4,4,1,1,6,At Risk
12446,1002.3100000000001,1,351,2011-10-13 12:50:00,2011-10-13 12:50:00,57,1,1002.3100000000001,3,1,4,8,Potential Loyal
12447,476.49,1,190,2011-04-10 13:25:00,2011-04-10 13:25:00,242,1,476.49,1,1,2,4,Lost
12448,449.45,1,243,2011-10-26 13:46:00,2011-10-26 13:46:00,43,1,449.45,3,1,2,6,At Risk
12449,4067.29,4,1553,2011-11-17 13:46:00,2011-06-05 15:37:00,21,4,4067.29,4,4,5,13,VIP
12450,197.88,2,128,2011-07-06 14:41:00,2011-06-19 14:36:00,155,2,197.88,2,2,1,5,At Risk
12451,9035.52,5,6575,2011-11-29 08:40:00,2011-01-19 09:05:00,10,5,9035.52,5,4,5,14,VIP
12452,430.57,2,185,2011-11-23 10:28:00,2011-11-23 08:05:00,16,2,430.57,4,2,2,8,Potential Loyal
12453,707.09,1,473,2011-07-28 14:08:00,2011-07-28 14:08:00,133,1,707.09,2,1,3,6,At Risk
12454,3528.34,1,1006,2011-10-14 17:13:00,2011-10-14 17:13:00,55,1,3528.34,3,1,5,9,Potential Loyal
12455,2466.86,6,2089,2011-09-27 15:31:00,2011-02-16 09:56:00,72,6,2466.86,2,4,5,11,Loyal
12456,3181.04,3,1633,2011-10-26 14:41:00,2011-03-30 09:12:00,43,3,3181.04,3,3,5,11,Loyal
12457,2363.23,7,843,2011-10-04 13:13:00,2011-04-14 18:57:00,65,7,2363.23,3,5,5,13,VIP
12458,947.4,2,506,2011-09-29 15:25:00,2011-02-28 10:55:00,70,2,947.4,3,2,4,9,Potential Loyal
12461,826.88,2,287,2011-09-06 16:57:00,2011-07-08 10:23:00,93,2,826.88,2,2,3,7,Potential Loyal
12462,1189.59,2,536,2011-11-21 09:11:00,2011-02-09 14:44:00,18,2,1189.59,4,2,4,10,Loyal
12463,1344.78,4,776,2011-10-17 13:44:00,2011-04-12 12:47:00,52,4,1344.78,3,4,4,11,Loyal
12464,1212.05,8,112,2011-11-29 13:33:00,2011-02-03 13:30:00,9,8,1212.05,5,5,4,14,VIP
12465,742.1899999999999,2,479,2011-11-22 16:34:00,2011-06-23 13:37:00,16,2,742.1899999999999,4,2,3,9,Potential Loyal
12468,729.5400000000001,2,366,2011-06-05 11:36:00,2011-01-27 13:29:00,187,2,729.5400000000001,1,2,3,6,At Risk
12471,19788.65,30,8200,2011-12-07 15:43:00,2010-12-10 09:35:00,1,30,19788.65,5,5,5,15,VIP
12472,6572.11,7,4148,2011-11-07 14:01:00,2010-12-05 14:19:00,31,7,6572.11,4,5,5,14,VIP
12473,3928.0499999999997,5,2414,2011-11-10 13:46:00,2011-06-01 10:15:00,28,5,3928.0499999999997,4,4,5,13,VIP
12474,7324.09,18,4833,2011-11-22 14:39:00,2011-01-14 10:06:00,16,18,7324.09,4,5,5,14,VIP
12475,723.38,1,535,2011-10-17 10:10:00,2011-10-17 10:10:00,53,1,723.38,3,1,3,7,Potential Loyal
12476,6816.42,11,2408,2011-11-24 12:40:00,2010-12-13 14:39:00,15,11,6816.42,4,5,5,14,VIP
12477,13219.74,6,3653,2011-11-17 09:51:00,2011-02-11 12:45:00,22,6,13219.74,4,4,5,13,VIP
12478,680.99,1,236,2011-12-06 09:56:00,2011-12-06 09:56:00,3,1,680.99,5,1,3,9,Potential Loyal
12479,527.2,1,385,2011-11-28 13:26:00,2011-11-28 13:26:00,10,1,527.2,5,1,3,9,Potential Loyal
12480,3281.63,4,1707,2011-11-11 14:52:00,2011-01-07 15:27:00,27,4,3281.63,4,4,5,13,VIP
12481,5579.82,10,3294,2011-11-17 08:29:00,2010-12-09 10:13:00,22,10,5579.82,4,5,5,14,VIP
12483,2484.98,8,1110,2011-11-22 17:02:00,2011-01-04 14:20:00,16,8,2484.98,4,5,5,14,VIP
12484,4527.32,6,2187,2011-11-07 11:37:00,2011-01-07 14:04:00,32,6,4527.32,4,4,5,13,VIP
12488,1298.66,3,529,2011-11-30 08:50:00,2011-09-25 10:34:00,9,3,1298.66,5,3,4,12,Loyal
12489,334.93,1,105,2011-01-07 13:13:00,2011-01-07 13:13:00,335,1,334.93,1,1,2,4,Lost
12490,5417.93,10,3064,2011-12-04 16:07:00,2011-01-14 09:13:00,4,10,5417.93,5,5,5,15,VIP
12491,460.40000000000003,1,260,2011-11-01 12:18:00,2011-11-01 12:18:00,38,1,460.40000000000003,3,1,2,6,At Risk
12492,263.21000000000004,2,192,2011-10-07 15:15:00,2011-08-26 14:51:00,62,2,263.21000000000004,3,2,2,7,Potential Loyal
12493,433.74,2,207,2011-06-27 10:17:00,2011-05-26 14:53:00,165,2,433.74,2,2,2,6,At Risk
12494,1246.1000000000001,7,707,2011-11-24 09:34:00,2010-12-09 11:31:00,15,7,1246.1000000000001,4,5,4,13,VIP
12497,1043.1,1,1236,2011-09-19 12:29:00,2011-09-19 12:29:00,81,1,1043.1,2,1,4,7,Potential Loyal
12498,403.70000000000005,3,159,2011-11-18 12:53:00,2011-10-13 09:30:00,20,3,403.70000000000005,4,3,2,9,Potential Loyal
12500,4257.82,11,2678,2011-11-16 16:20:00,2011-01-10 09:48:00,22,11,4257.82,4,5,5,14,VIP
12501,2169.39,1,1783,2011-01-07 12:28:00,2011-01-07 12:28:00,336,1,2169.39,1,1,5,7,Potential Loyal
12502,3723.87,5,820,2011-09-05 11:52:00,2011-02-03 10:41:00,95,5,3723.87,2,4,5,11,Loyal
12504,482.04999999999995,2,90,2011-11-21 16:02:00,2011-11-09 14:56:00,17,2,482.04999999999995,4,2,2,8,Potential Loyal
12506,73.5,1,23,2011-04-21 08:54:00,2011-04-21 08:54:00,232,1,73.5,1,1,1,3,Lost
12507,1304.81,3,894,2011-07-28 17:09:00,2011-02-14 09:24:00,133,3,1304.81,2,3,4,9,Potential Loyal
12508,397.88,2,271,2011-11-13 15:37:00,2011-11-10 16:27:00,25,2,397.88,4,2,2,8,Potential Loyal
12509,176.5,1,55,2011-02-28 14:45:00,2011-02-28 14:45:00,283,1,176.5,1,1,1,3,Lost
12510,982.5699999999999,2,353,2011-07-20 10:15:00,2011-01-18 14:04:00,142,2,982.5699999999999,2,2,4,8,Potential Loyal
12512,132.18,2,96,2011-10-04 14:55:00,2011-10-04 14:53:00,65,2,132.18,3,2,1,6,At Risk
12513,612.29,1,462,2011-08-19 10:51:00,2011-08-19 10:51:00,112,1,612.29,2,1,3,6,At Risk
12514,1017.68,1,440,2011-03-17 16:38:00,2011-03-17 16:38:00,266,1,1017.68,1,1,4,6,At Risk
12515,383.7,1,131,2010-12-21 15:43:00,2010-12-21 15:43:00,352,1,383.7,1,1,2,4,Lost
12516,1312.06,2,875,2011-09-23 09:13:00,2011-06-12 11:37:00,77,2,1312.06,2,2,4,8,Potential Loyal
12517,2481.6,5,1361,2011-11-11 14:04:00,2011-06-02 15:13:00,27,5,2481.6,4,4,5,13,VIP
12518,2056.89,5,1318,2011-12-09 10:13:00,2011-08-21 13:18:00,0,5,2056.89,5,4,5,14,VIP
12519,330.84,1,175,2011-10-07 09:26:00,2011-10-07 09:26:00,63,1,330.84,3,1,2,6,At Risk
12520,2634.26,5,1439,2011-09-21 15:23:00,2011-03-11 11:35:00,78,5,2634.26,2,4,5,11,Loyal
12521,599.68,1,309,2011-07-20 10:51:00,2011-07-20 10:51:00,142,1,599.68,2,1,3,6,At Risk
12522,192.72,2,194,2011-10-31 15:30:00,2011-10-19 14:41:00,38,2,192.72,3,2,1,6,At Risk
12523,1789.77,11,865,2011-11-20 12:55:00,2011-01-12 09:43:00,18,11,1789.77,4,5,4,13,VIP
12524,4485.72,8,3699,2011-11-30 15:31:00,2011-01-10 10:35:00,8,8,4485.72,5,5,5,15,VIP
12526,1316.66,3,632,2011-12-09 12:09:00,2011-09-06 14:19:00,0,3,1316.66,5,3,4,12,Loyal
12527,348.71000000000004,3,234,2011-09-19 11:55:00,2011-01-18 12:05:00,81,3,348.71000000000004,2,3,2,7,Potential Loyal
12528,1933.48,6,756,2011-11-30 14:40:00,2011-01-31 09:05:00,8,6,1933.48,5,5,4,14,VIP
12530,1662.28,4,913,2011-10-11 12:34:00,2011-01-07 10:04:00,59,4,1662.28,3,4,4,11,Loyal
12531,125.22,1,45,2011-11-25 11:12:00,2011-11-25 11:12:00,14,1,125.22,4,1,1,6,At Risk
12532,349.83000000000004,1,153,2011-11-09 13:47:00,2011-11-09 13:47:00,29,1,349.83000000000004,4,1,2,7,Potential Loyal
12534,1089.18,1,651,2011-08-01 10:26:00,2011-08-01 10:26:00,130,1,1089.18,2,1,4,7,Potential Loyal
12535,716.35,2,219,2011-09-09 08:48:00,2011-06-06 12:47:00,91,2,716.35,2,2,3,7,Potential Loyal
12536,12601.830000000002,3,2803,2011-10-27 14:20:00,2011-10-11 14:52:00,42,3,12601.830000000002,3,3,5,11,Loyal
12538,363.95,1,191,2011-11-10 17:16:00,2011-11-10 17:16:00,28,1,363.95,4,1,2,7,Potential Loyal
12539,5568.35,4,2067,2011-11-17 13:30:00,2011-01-10 09:11:00,21,4,5568.35,4,4,5,13,VIP
12540,13400.24,17,6685,2011-11-20 11:31:00,2010-12-13 09:39:00,19,17,13400.24,4,5,5,14,VIP
12541,981.18,3,680,2011-11-10 10:40:00,2011-03-04 09:32:00,29,3,981.18,4,3,4,11,Loyal
12544,372.7,1,136,2011-11-03 16:15:00,2011-11-03 16:15:00,35,1,372.7,3,1,2,6,At Risk
12545,1000.39,2,523,2011-09-25 13:39:00,2011-03-25 12:04:00,74,2,1000.39,2,2,4,8,Potential Loyal
12546,1161.5,2,633,2011-10-24 12:09:00,2011-09-23 09:44:00,46,2,1161.5,3,2,4,9,Potential Loyal
12547,207.79999999999998,2,134,2011-05-26 12:38:00,2011-03-04 12:46:00,197,2,207.79999999999998,1,2,1,4,Lost
12548,95.19999999999999,1,49,2011-06-26 15:35:00,2011-06-26 15:35:00,165,1,95.19999999999999,2,1,1,4,Lost
12550,964.83,1,569,2011-09-21 14:35:00,2011-09-21 14:35:00,78,1,964.83,2,1,4,7,Potential Loyal
12551,168.0,1,100,2010-12-17 11:23:00,2010-12-17 11:23:00,357,1,168.0,1,1,1,3,Lost
12552,437.82,2,88,2011-11-01 10:02:00,2011-10-31 12:11:00,38,2,437.82,3,2,2,7,Potential Loyal
12553,3692.28,10,1965,2011-12-01 16:38:00,2011-01-14 10:42:00,7,10,3692.28,5,5,5,15,VIP
12556,599.56,2,355,2011-10-20 13:06:00,2011-07-11 13:35:00,49,2,599.56,3,2,3,8,Potential Loyal
12557,11990.960000000001,5,4384,2011-11-23 16:59:00,2010-12-03 12:20:00,15,5,11990.960000000001,4,4,5,13,VIP
12558,269.96,1,196,2011-12-02 10:41:00,2011-12-02 10:41:00,7,1,269.96,5,1,2,8,Potential Loyal
12559,561.71,2,283,2011-02-02 09:49:00,2011-01-24 10:12:00,310,2,561.71,1,2,3,6,At Risk
12560,2134.01,3,1110,2011-12-04 13:54:00,2011-07-19 15:55:00,4,3,2134.01,5,3,5,13,VIP
12561,238.85,1,177,2011-02-10 11:39:00,2011-02-10 11:39:00,302,1,238.85,1,1,1,3,Lost
12562,3781.7400000000002,7,1779,2011-12-01 17:20:00,2011-05-25 12:44:00,7,7,3781.7400000000002,5,5,5,15,VIP
12564,456.9,1,133,2011-03-23 14:55:00,2011-03-23 14:55:00,260,1,456.9,1,1,2,4,Lost
12565,145.92,1,80,2011-02-24 10:34:00,2011-02-24 10:34:00,288,1,145.92,1,1,1,3,Lost
12566,351.65,1,265,2011-09-14 14:30:00,2011-09-14 14:30:00,85,1,351.65,2,1,2,5,At Risk
12567,9401.28,10,4305,2011-11-17 11:02:00,2010-12-05 11:57:00,22,10,9401.28,4,5,5,14,VIP
12569,4124.69,32,1801,2011-12-07 16:24:00,2011-04-01 13:47:00,1,32,4124.69,5,5,5,15,VIP
12571,519.61,2,523,2011-10-31 10:19:00,2011-08-10 12:35:00,39,2,519.61,3,2,3,8,Potential Loyal
12572,1020.42,2,452,2011-12-01 09:20:00,2011-10-19 08:20:00,8,2,1020.42,5,2,4,11,Loyal
12573,160.54000000000002,1,84,2011-04-26 15:52:00,2011-04-26 15:52:00,226,1,160.54000000000002,1,1,1,3,Lost
12574,218.45,1,61,2011-01-28 09:20:00,2011-01-28 09:20:00,315,1,218.45,1,1,1,3,Lost
12576,1315.83,5,967,2011-11-04 10:11:00,2011-02-08 11:31:00,35,5,1315.83,3,4,4,11,Loyal
12577,626.6,3,469,2011-11-04 13:24:00,2010-12-15 16:21:00,34,3,626.6,3,3,3,9,Potential Loyal
12578,2794.51,2,1196,2011-11-18 13:30:00,2011-01-13 15:34:00,20,2,2794.51,4,2,5,11,Loyal
12579,440.42,1,285,2011-09-22 17:15:00,2011-09-22 17:15:00,77,1,440.42,2,1,2,5,At Risk
12580,415.7,1,238,2011-04-07 10:24:00,2011-04-07 10:24:00,246,1,415.7,1,1,2,4,Lost
12581,197.71,1,161,2011-10-31 08:56:00,2011-10-31 08:56:00,39,1,197.71,3,1,1,5,At Risk
12582,511.36,2,300,2011-04-15 08:45:00,2011-02-24 11:42:00,238,2,511.36,1,2,3,6,At Risk
12583,7281.38,15,5060,2011-12-07 08:07:00,2010-12-01 08:45:00,2,15,7281.38,5,5,5,15,VIP
12584,2338.15,9,416,2011-12-06 09:35:00,2011-03-04 15:15:00,3,9,2338.15,5,5,5,15,VIP
12585,2040.1,2,1279,2011-04-19 13:39:00,2010-12-23 12:58:00,233,2,2040.1,1,2,4,7,Potential Loyal
12586,196.94000000000003,1,79,2011-11-22 16:24:00,2011-11-22 16:24:00,16,1,196.94000000000003,4,1,1,6,At Risk
12587,144.0,1,51,2011-12-02 12:47:00,2011-12-02 12:47:00,7,1,144.0,5,1,1,7,Potential Loyal
12588,214.89999999999998,1,53,2011-10-31 15:01:00,2011-10-31 15:01:00,38,1,214.89999999999998,3,1,1,5,At Risk
12589,646.68,2,306,2011-11-11 10:19:00,2011-07-18 12:05:00,28,2,646.68,4,2,3,9,Potential Loyal
12590,9864.26,2,4283,2011-05-12 14:52:00,2011-05-12 14:46:00,210,2,9864.26,1,2,5,8,Potential Loyal
12591,452.84999999999997,1,228,2011-01-26 14:35:00,2011-01-26 14:35:00,316,1,452.84999999999997,1,1,2,4,Lost
12592,437.6,2,290,2011-09-08 15:04:00,2011-05-10 13:44:00,91,2,437.6,2,2,2,6,At Risk
12593,418.09999999999997,3,206,2011-08-23 12:43:00,2011-05-05 09:29:00,108,3,418.09999999999997,2,3,2,7,Potential Loyal
12594,3338.2200000000003,10,1777,2011-11-02 12:20:00,2011-01-21 09:52:00,37,10,3338.2200000000003,3,5,5,13,VIP
12596,618.27,2,474,2011-10-19 13:02:00,2011-04-11 13:22:00,50,2,618.27,3,2,3,8,Potential Loyal
12597,3811.22,4,2236,2011-11-20 13:33:00,2011-03-16 14:00:00,18,4,3811.22,4,4,5,13,VIP
12598,3023.08,8,1964,2011-11-30 12:18:00,2011-02-28 11:58:00,9,8,3023.08,5,5,5,15,VIP
12599,1032.58,7,956,2011-11-10 13:34:00,2011-02-08 13:28:00,28,7,1032.58,4,5,4,13,VIP
12600,2599.04,10,774,2011-11-11 10:29:00,2010-12-03 12:57:00,28,10,2599.04,4,5,5,14,VIP
12601,577.0600000000001,5,245,2011-06-03 10:17:00,2011-01-11 10:38:00,189,5,577.0600000000001,1,4,3,8,Potential Loyal
12602,153.12,1,162,2011-10-12 11:22:00,2011-10-12 11:22:00,58,1,153.12,3,1,1,5,At Risk
12603,739.1999999999999,1,63,2011-11-18 10:42:00,2011-11-18 10:42:00,21,1,739.1999999999999,4,1,3,8,Potential Loyal
12604,254.18,2,201,2011-09-21 14:08:00,2011-03-23 12:06:00,78,2,254.18,2,2,2,6,At Risk
12607,1579.51,1,1228,2011-10-10 16:06:00,2011-10-10 16:06:00,59,1,1579.51,3,1,4,8,Potential Loyal
12609,1126.85,3,648,2011-09-22 16:34:00,2011-01-25 15:13:00,77,3,1126.85,2,3,4,9,Potential Loyal
12610,2099.54,5,1049,2011-11-17 09:34:00,2011-08-05 13:52:00,22,5,2099.54,4,4,5,13,VIP
12611,1193.32,1,846,2011-10-18 13:12:00,2011-10-18 13:12:00,51,1,1193.32,3,1,4,8,Potential Loyal
12612,704.0400000000001,1,262,2011-09-26 15:35:00,2011-09-26 15:35:00,73,1,704.0400000000001,2,1,3,6,At Risk
12613,3344.38,5,1644,2011-10-13 14:59:00,2011-03-22 15:42:00,56,5,3344.38,3,4,5,12,Loyal
12614,315.6,1,76,2011-03-07 10:22:00,2011-03-07 10:22:00,277,1,315.6,1,1,2,4,Lost
12615,2291.19,4,1376,2011-12-07 15:02:00,2011-06-24 13:35:00,1,4,2291.19,5,4,5,14,VIP
12616,713.3,2,284,2011-09-05 15:17:00,2011-02-15 14:17:00,94,2,713.3,2,2,3,7,Potential Loyal
12617,352.98,1,210,2011-11-10 14:39:00,2011-11-10 14:39:00,28,1,352.98,4,1,2,7,Potential Loyal
12618,177.31,1,96,2011-11-18 11:10:00,2011-11-18 11:10:00,21,1,177.31,4,1,1,6,At Risk
12619,3641.24,9,3378,2011-11-23 14:52:00,2011-03-31 13:10:00,15,9,3641.24,4,5,5,14,VIP
12620,1339.41,3,1181,2011-11-25 10:20:00,2011-05-19 12:10:00,14,3,1339.41,4,3,4,11,Loyal
12621,13689.67,20,7440,2011-12-08 11:25:00,2010-12-09 10:16:00,1,20,13689.67,5,5,5,15,VIP
12622,180.1,1,69,2011-04-21 16:39:00,2011-04-21 16:39:00,231,1,180.1,1,1,1,3,Lost
12623,305.1,1,191,2011-03-08 13:50:00,2011-03-08 13:50:00,275,1,305.1,1,1,2,4,Lost
